Date,AAPL,AXP,BA,CAT,CSCO,DIS,GS,HD,IBM,JPM,KO,MCD,MRK,UNH,WBA
31/05/16,99.860001,65.760002,126.150002,72.510002,29.049999,99.220001,159.479996,132.119995,153.740005,65.269997,44.599998,122.059998,56.259998,133.669998,77.400002
01/06/16,98.459999,65.910004,126.410004,72.269997,28.9,98.519997,159.970001,131.830002,152.509995,65.690002,44.700001,121.970001,56.330002,134.529999,78.099998
02/06/16,97.720001,66.410004,126.849998,73.620003,29.08,98.720001,159.279999,132.410004,153.5,65.809998,44.720001,121.169998,56.82,136.039993,79.099998
03/06/16,97.919998,65.489998,127.379997,75.040001,29.129999,98.75,155.669998,131.740005,152.889999,64.639999,45.040001,121.349998,56.639999,136.839996,78.68
06/06/16,98.629997,65.940002,131.899994,76.419998,29.1,98.779999,157.059998,129.190002,152.729996,65.279999,45.369999,122,57.169998,138.149994,78.660004
07/06/16,99.029999,65.889999,131.929993,76.809998,29.07,98.349998,155.169998,129.919998,153.330002,65.059998,45.32,121.900002,57,136.940002,79.120003
08/06/16,98.940002,66.260002,133,78.110001,29.139999,98.040001,154.639999,129.589996,154,65.25,45.549999,122.110001,57.619999,140.399994,79.440002
09/06/16,99.650002,65.709999,133.100006,77.160004,29.139999,97.839996,153.169998,129.300003,153.419998,64.75,45.759998,122.790001,57.18,140.679993,79.010002
10/06/16,98.830002,64.970001,131.139999,76.029999,29.030001,97.339996,149.889999,128.830002,152.369995,63.84,45.990002,122.360001,56.810001,139.240005,82.470001
13/06/16,97.339996,63.669998,129.919998,75.230003,28.84,97.57,148.630005,127.830002,151.279999,63.27,45.119999,122.989998,56.110001,138.089996,84.360001
14/06/16,97.459999,61.07,130.5,74.860001,28.959999,98.400002,146.190002,125.239998,151.059998,62.080002,45.040001,122.510002,56.25,137.869995,84.339996
15/06/16,97.139999,61.419998,130.160004,75.07,28.65,98.269997,146.160004,126.529999,150.679993,61.970001,45.009998,122.25,56.09,137.259995,83.209999
16/06/16,97.550003,61.93,129.369995,74.989998,28.870001,98.379997,146.630005,127.360001,151.059998,62.220001,45.310001,122.470001,57.5,138.660004,83.150002
17/06/16,95.330002,61.860001,129.820007,75.93,28.950001,99,145.639999,127.139999,151.990005,62.279999,44.790001,122.269997,55.889999,137.690002,82.650002
20/06/16,95.099998,62.299999,132.75,76.43,28.799999,99.57,147.75,127.620003,153.610001,62.369999,44.98,123.419998,56.139999,138.520004,82.93
21/06/16,95.910004,62.290001,131.520004,76.489998,28.77,98.82,148.350006,127.739998,154.050003,62.950001,45.130001,122.629997,56.25,138.190002,83.199997
22/06/16,95.550003,61.950001,131.770004,76.43,28.719999,98.790001,148.139999,127.599998,152.919998,62.709999,44.860001,120.620003,57.040001,137.899994,83.739998
23/06/16,96.099998,63.25,133.550003,78.220001,29.219999,99.019997,152.660004,128.289993,155.350006,64.050003,45.080002,121.209999,57.68,139.190002,85.059998
24/06/16,93.400002,60.060001,126.519997,73.029999,27.75,95.720001,141.860001,126.400002,146.589996,59.599998,43.93,119.440002,55.880001,137.289993,81.779999
27/06/16,92.040001,57.669998,122.699997,71.379997,27.309999,94.379997,139.509995,124.669998,143.5,57.610001,43.779999,116.300003,55.310001,137.110001,79.389999
28/06/16,93.589996,57.900002,123.889999,72.519997,27.790001,96.050003,142.410004,127.529999,145.699997,59.52,44.18,118.5,55.580002,138.710007,79.879997
29/06/16,94.400002,59.630001,126.989998,74.230003,28.26,96.980003,145.5,127.370003,148.460007,61.200001,44.439999,119.489998,57.049999,140.520004,83.190002
30/06/16,95.599998,60.759998,129.869995,75.809998,28.690001,97.82,148.580002,127.690002,151.779999,62.139999,45.330002,120.339996,57.610001,141.199997,83.269997
01/07/16,95.889999,60.689999,129.690002,76.449997,28.799999,98.029999,148.25,129.619995,152.350006,61.259998,45.119999,120.400002,57.939999,140.860001,83.059998
05/07/16,94.989998,59.150002,126.970001,74.379997,28.33,97.660004,144.449997,129.350006,151.679993,59.549999,45.43,120.760002,58,141.559998,83.519997
06/07/16,95.529999,59.48,126.959999,74.830002,28.719999,98.449997,145.580002,131.570007,152.369995,60.189999,45.27,120.629997,59.16,142.380005,81.550003
07/07/16,95.940002,59.810001,127.169998,75.050003,28.74,98.410004,147,131.160004,152.600006,60.580002,45.09,120.919998,58.779999,140.800003,80.5
08/07/16,96.68,61.490002,130.089996,77.370003,29.26,99.620003,150.380005,134.339996,154.460007,61.830002,45.380001,121.309998,59.349998,141.270004,81.800003
11/07/16,96.980003,62.16,132.039993,77.800003,29.43,99.980003,152.190002,135.149994,155.330002,62.27,45.57,122,59.34,140.320007,82.010002
12/07/16,97.419998,63,130.809998,79.800003,29.610001,100.199997,156.919998,134.839996,157.039993,63.200001,45.580002,122.25,59.599998,139.860001,81.220001
13/07/16,96.870003,63.099998,130.110001,79.690002,29.75,99.879997,157.919998,133.559998,158.020004,63.16,45.740002,122.82,59.549999,141.479996,81.769997
14/07/16,98.790001,63.610001,131.550003,80.059998,29.76,99.970001,162.539993,134.539993,160.279999,64.120003,45.689999,123.93,59.650002,140.839996,83.779999
15/07/16,98.779999,63.779999,132.389999,80.699997,29.82,99.800003,161.639999,134.779999,159.779999,64.18,45.630001,123.610001,59.630001,141.330002,82.510002
18/07/16,99.830002,63.990002,133.429993,79.82,29.91,100.150002,163.330002,136.339996,159.860001,63.959999,45.630001,123.800003,59.02,140.75,82.779999
19/07/16,99.870003,64.160004,134.660004,79.739998,29.92,99.470001,161.410004,136.979996,159.580002,63.860001,45.630001,126.5,58.66,142.589996,82.209999
20/07/16,99.959999,64.480003,134.720001,79.690002,30.629999,98.220001,161.770004,137.410004,161.360001,63.93,45.509998,126.059998,58.790001,143.020004,82.510002
21/07/16,99.43,63.43,133.529999,80.010002,30.58,98.010002,160.050003,136.070007,160.449997,63.689999,45.450001,127.18,58.790001,142.869995,81.699997
22/07/16,98.660004,64.279999,133.470001,79.379997,30.709999,97.709999,160.410004,136.520004,162.070007,64.040001,45.830002,128.259995,58.82,143.690002,81.349998
25/07/16,97.339996,64.330002,132.940002,78.690002,30.790001,97.389999,160.509995,136.5,162.649994,63.869999,45.57,127.400002,58.560001,141.729996,81.57
26/07/16,96.669998,64.370003,134.850006,82.75,30.879999,96.690002,161.160004,136.75,162.119995,64.129997,44.880001,121.709999,58.360001,141.699997,81.330002
27/07/16,102.949997,64.589996,135.960007,84.099998,30.76,96.330002,160.990005,136.309998,161.830002,64.330002,43.400002,119.480003,58.599998,141.679993,79.940002
28/07/16,104.339996,64.790001,133.009995,82.919998,30.52,95.910004,160.529999,137.960007,161.369995,64.099998,43.650002,119.419998,58.43,142.759995,79.459999
29/07/16,104.209999,64.459999,133.660004,82.760002,30.530001,95.949997,158.809998,138.240005,160.619995,63.970001,43.630001,117.650002,58.66,143.199997,79.25
01/08/16,106.050003,64.129997,133.210007,81.949997,30.73,95.540001,158.179993,138.770004,161.449997,63.799999,43.450001,118.010002,58.66,143.509995,79.269997
02/08/16,104.480003,63.470001,131.600006,81.239998,30.620001,95.010002,156.059998,137.220001,160.580002,63.650002,43.529999,117.699997,58.330002,143.169998,78.949997
03/08/16,105.790001,63.830002,131.869995,82.029999,30.719999,96.089996,158.339996,137.059998,160.669998,64.660004,43.639999,117.519997,57.650002,142.880005,79.599998
04/08/16,105.870003,63.939999,131.210007,81.769997,30.799999,95.160004,158.050003,136.050003,161.550003,64.559998,43.509998,118.300003,57.84,142.710007,79.849998
05/08/16,107.480003,65.519997,131.729996,82.559998,31.040001,95.830002,162.089996,136.910004,163.5,66.300003,43.48,119.209999,63.860001,142.990005,80.529999
08/08/16,108.370003,65.830002,132.190002,83.440002,31.01,95.75,162.830002,136.210007,162.039993,66.099998,43.439999,118.290001,62.860001,142.130005,80.629997
09/08/16,108.809998,65.389999,132.619995,82.830002,30.940001,96.669998,163.440002,136.110001,161.770004,65.870003,43.470001,118.309998,62.490002,141.820007,80.889999
10/08/16,108,64.739998,132.279999,82.650002,30.85,97.860001,162.190002,135.600006,162.080002,65.279999,43.610001,118.800003,62.639999,142.190002,82.5
11/08/16,107.93,65.480003,133,83.239998,30.950001,97.769997,163.860001,137.039993,163.529999,65.459999,43.75,119.379997,63.630001,142.630005,82.910004
12/08/16,108.18,65.379997,133.100006,83,30.870001,96.839996,163.25,136.570007,161.949997,65.32,44.029999,119.519997,63.349998,142.880005,83.32
15/08/16,109.480003,65.629997,134.660004,84.150002,31.190001,97.099998,165.550003,137.059998,161.880005,65.720001,44.240002,118.519997,63.32,141.619995,83.610001
