Date,Open,High,Low,Close,Adj Close,Volume
11/04/16,17586.48047,17731.63086,17555.90039,17556.41016,17556.41016,107100000
12/04/16,17571.33984,17744.42969,17553.57031,17721.25,17721.25,81020000
13/04/16,17741.66016,17918.34961,17741.66016,17908.2793,17908.2793,91710000
14/04/16,17912.25,17962.14063,17885.43945,17926.42969,17926.42969,84510000
15/04/16,17925.94922,17937.65039,17867.41016,17897.46094,17897.46094,118160000
18/04/16,17890.19922,18009.5293,17848.2207,18004.16016,18004.16016,89390000
19/04/16,18012.09961,18103.46094,17984.42969,18053.59961,18053.59961,89820000
20/04/16,18059.49023,18167.63086,18031.21094,18096.26953,18096.26953,100210000
21/04/16,18092.83984,18107.28906,17963.89063,17982.51953,17982.51953,102720000
22/04/16,17985.05078,18026.84961,17909.89063,18003.75,18003.75,134120000
25/04/16,17990.93945,17990.93945,17855.55078,17977.24023,17977.24023,83770000
26/04/16,17987.38086,18043.76953,17934.16992,17990.32031,17990.32031,92570000
27/04/16,17996.14063,18084.66016,17920.25977,18041.55078,18041.55078,109090000
28/04/16,18023.88086,18035.73047,17796.55078,17830.75977,17830.75977,100920000
29/04/16,17813.08984,17814.83008,17651.98047,17773.64063,17773.64063,136670000
02/05/16,17783.7793,17912.34961,17773.71094,17891.16016,17891.16016,80100000
03/05/16,17870.75,17870.75,17670.88086,17750.91016,17750.91016,97060000
04/05/16,17735.01953,17738.06055,17609.00977,17651.25977,17651.25977,95020000
05/05/16,17664.48047,17736.10938,17615.82031,17660.71094,17660.71094,81530000
06/05/16,17650.30078,17744.53906,17580.38086,17740.63086,17740.63086,80020000
09/05/16,17743.84961,17783.16016,17668.38086,17705.91016,17705.91016,85590000
10/05/16,17726.66016,17934.60938,17726.66016,17928.34961,17928.34961,75790000
11/05/16,17919.0293,17919.0293,17711.05078,17711.11914,17711.11914,87390000
12/05/16,17711.11914,17798.18945,17625.38086,17720.5,17720.5,88560000
13/05/16,17711.11914,17734.74023,17512.48047,17535.32031,17535.32031,86640000
16/05/16,17531.75977,17755.80078,17531.75977,17710.71094,17710.71094,88440000
17/05/16,17701.46094,17701.46094,17469.91992,17529.98047,17529.98047,103260000
18/05/16,17501.2793,17636.2207,17418.21094,17526.61914,17526.61914,79120000
19/05/16,17514.16016,17514.16016,17331.07031,17435.40039,17435.40039,95530000
20/05/16,17437.32031,17571.75,17437.32031,17500.93945,17500.93945,111990000
23/05/16,17507.03906,17550.69922,17480.05078,17492.92969,17492.92969,87790000
24/05/16,17525.18945,17742.58984,17525.18945,17706.05078,17706.05078,86480000
25/05/16,17735.08984,17891.71094,17735.08984,17851.50977,17851.50977,79180000
26/05/16,17859.51953,17888.66016,17803.82031,17828.28906,17828.28906,68940000
27/05/16,17826.84961,17873.2207,17824.73047,17873.2207,17873.2207,73190000
31/05/16,17891.5,17899.24023,17724.0293,17787.19922,17787.19922,147390000
01/06/16,17754.55078,17809.17969,17664.78906,17789.66992,17789.66992,78530000
02/06/16,17789.05078,17838.56055,17703.55078,17838.56055,17838.56055,75560000
03/06/16,17799.80078,17833.16992,17689.67969,17807.06055,17807.06055,82270000
06/06/16,17825.68945,17949.67969,17822.81055,17920.33008,17920.33008,71870000
07/06/16,17936.2207,18003.23047,17936.2207,17938.2793,17938.2793,78750000
08/06/16,17931.91016,18016,17931.91016,18005.05078,18005.05078,71260000
09/06/16,17969.98047,18005.2207,17915.88086,17985.18945,17985.18945,69690000
10/06/16,17938.82031,17938.82031,17812.33984,17865.33984,17865.33984,90540000
13/06/16,17830.5,17893.2793,17731.34961,17732.48047,17732.48047,101690000
14/06/16,17710.76953,17733.91992,17595.78906,17674.82031,17674.82031,93740000
15/06/16,17703.65039,17762.96094,17629.00977,17640.16992,17640.16992,94130000
16/06/16,17602.23047,17754.91016,17471.28906,17733.09961,17733.09961,91950000
17/06/16,17733.43945,17733.43945,17602.7793,17675.16016,17675.16016,248680000
20/06/16,17736.86914,17946.35938,17736.86914,17804.86914,17804.86914,99380000
21/06/16,17827.33008,17877.83984,17799.80078,17829.73047,17829.73047,85130000
22/06/16,17832.66992,17920.16016,17770.35938,17780.83008,17780.83008,89440000
23/06/16,17844.10938,18011.07031,17844.10938,18011.07031,18011.07031,98070000
24/06/16,17946.63086,17946.63086,17356.33984,17400.75,17400.75,239000000
27/06/16,17355.21094,17355.21094,17063.08008,17140.24023,17140.24023,138740000
28/06/16,17190.50977,17409.7207,17190.50977,17409.7207,17409.7207,112190000
29/06/16,17456.01953,17704.50977,17456.01953,17694.67969,17694.67969,106380000
30/06/16,17712.75977,17930.60938,17711.80078,17929.99023,17929.99023,133030000
01/07/16,17924.24023,18002.38086,17916.91016,17949.36914,17949.36914,82160000
05/07/16,17904.44922,17904.44922,17785.2793,17840.61914,17840.61914,103650000
06/07/16,17807.4707,17926.91016,17713.44922,17918.61914,17918.61914,93000000
07/07/16,17924.24023,17984.94922,17816.65039,17895.88086,17895.88086,81570000
08/07/16,17971.2207,18166.76953,17971.2207,18146.74023,18146.74023,93460000
11/07/16,18161.5293,18283.90039,18161.5293,18226.92969,18226.92969,80880000
12/07/16,18259.11914,18371.94922,18259.11914,18347.66992,18347.66992,90170000
13/07/16,18356.7793,18390.16016,18315.75977,18372.11914,18372.11914,80920000
14/07/16,18414.30078,18537.57031,18414.30078,18506.41016,18506.41016,87050000
15/07/16,18508.88086,18557.42969,18471.61914,18516.55078,18516.55078,123690000
18/07/16,18521.55078,18556.13086,18489.83984,18533.05078,18533.05078,75540000
19/07/16,18503.11914,18562.5293,18495.10938,18559.00977,18559.00977,85840000
20/07/16,18582.69922,18622.00977,18555.65039,18595.0293,18595.0293,93230000
21/07/16,18589.96094,18590.43945,18469.66992,18517.23047,18517.23047,86800000
22/07/16,18524.15039,18571.30078,18491.58984,18570.84961,18570.84961,87710000
25/07/16,18554.49023,18555.68945,18452.61914,18493.06055,18493.06055,76810000
26/07/16,18497.36914,18522.4707,18387.2207,18473.75,18473.75,85370000
27/07/16,18473.26953,18542.39063,18430.93945,18472.16992,18472.16992,111370000
28/07/16,18461.00977,18483.25977,18368.82031,18456.34961,18456.34961,85750000
29/07/16,18442.51953,18466.55078,18371.11914,18432.24023,18432.24023,111550000
01/08/16,18434.5,18467.0293,18355.75,18404.50977,18404.50977,83470000
02/08/16,18401.15039,18403.65039,18247.78906,18313.76953,18313.76953,89680000
03/08/16,18313.08008,18355,18283.23047,18355,18355,78550000
04/08/16,18351.42969,18397.86914,18325.16992,18352.05078,18352.05078,64500000
05/08/16,18402.80078,18543.5293,18402.80078,18543.5293,18543.5293,92420000
08/08/16,18541.89063,18569.31055,18502.0293,18529.28906,18529.28906,71810000
09/08/16,18538.05078,18585.32031,18507.75,18533.05078,18533.05078,60090000
10/08/16,18541.48047,18561.75,18468.7793,18495.66016,18495.66016,62780000
11/08/16,18519.08008,18638.33984,18519.08008,18613.51953,18613.51953,71470000
12/08/16,18595.65039,18606.06055,18535.85938,18576.4707,18576.4707,61580000
15/08/16,18588.58984,18722.60938,18559.92969,18636.05078,18636.05078,62350000
16/08/16,18614.48047,18614.85938,18550.65039,18552.01953,18552.01953,67570000
17/08/16,18537.08984,18582.34961,18468.67969,18573.93945,18573.93945,71000000
18/08/16,18566.53906,18600.82031,18533.28906,18597.69922,18597.69922,70740000
19/08/16,18585.16992,18585.16992,18491.24023,18552.57031,18552.57031,93170000
22/08/16,18535.85938,18570.91992,18466.85938,18529.41992,18529.41992,73450000
23/08/16,18568.93945,18631.59961,18545.51953,18547.30078,18547.30078,73990000
24/08/16,18537.5,18539.15039,18448.26953,18481.48047,18481.48047,72270000
25/08/16,18471.21094,18497.67969,18431.46094,18448.41016,18448.41016,64480000
26/08/16,18467.91992,18572.08984,18335.33984,18395.40039,18395.40039,78730000
29/08/16,18421.28906,18523.08984,18419.91992,18502.99023,18502.99023,64480000
30/08/16,18491.2793,18514.28906,18408.51953,18454.30078,18454.30078,68920000
31/08/16,18436.69922,18439.67969,18333.56055,18400.88086,18400.88086,98250000
01/09/16,18396.57031,18430.05078,18295.48047,18419.30078,18419.30078,74780000
02/09/16,18466.00977,18544.75977,18439.09961,18491.96094,18491.96094,74350000
06/09/16,18493.40039,18551.53906,18450.32031,18538.11914,18538.11914,83710000
07/09/16,18527.71094,18536.89063,18474.76953,18526.14063,18526.14063,67570000
08/09/16,18486.68945,18506.24023,18446.68945,18479.91016,18479.91016,79060000
09/09/16,18404.16992,18404.16992,18085.44922,18085.44922,18085.44922,120670000
12/09/16,18028.94922,18358.68945,17994.83984,18325.07031,18325.07031,103260000
13/09/16,18262.99023,18262.99023,18028.06055,18066.75,18066.75,102830000
14/09/16,18073.39063,18163.48047,17992.21094,18034.76953,18034.76953,103360000
15/09/16,18024.91016,18250.10938,18015.49023,18212.48047,18212.48047,99550000
16/09/16,18217.21094,18217.21094,18070.21094,18123.80078,18123.80078,278510000
19/09/16,18154.82031,18254.88086,18093.05078,18120.16992,18120.16992,78090000
20/09/16,18175.35938,18227.21094,18128.80078,18129.96094,18129.96094,72450000
21/09/16,18164.96094,18307.42969,18121.57031,18293.69922,18293.69922,94090000
22/09/16,18343.75977,18449.88086,18343.75977,18392.46094,18392.46094,73030000
23/09/16,18377.35938,18383.75977,18254.83984,18261.44922,18261.44922,87170000
26/09/16,18217.75977,18217.75977,18083.32031,18094.83008,18094.83008,95510000
27/09/16,18099.21094,18238.09961,18052.16016,18228.30078,18228.30078,84130000
